,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Distrito
145,01/01/13,11.0,-1.6%,-4.3%,-10.1%,BILBAO
146,01/12/12,11.2,"-1,00%",-4.2%,-9.6%,BILBAO
147,01/11/12,11.3,-1.8%,-3.2%,-7.6%,BILBAO
148,01/10/12,11.5,-1.4%,-1.5%,-5.3%,BILBAO
149,01/09/12,11.7,"0,00%",-1.8%,-2.8%,BILBAO
150,01/08/12,11.7,"0,00%",-2.9%,-2.8%,BILBAO
151,01/07/12,11.7,-1.8%,-3.6%,-2.8%,BILBAO
152,01/06/12,11.9,-1.1%,-1.7%,"-1,00%",BILBAO
153,01/05/12,12.0,-0.8%,-1.1%,-1.4%,BILBAO
154,01/04/12,12.1,0.2%,"-1,00%",-2.1%,BILBAO
155,01/03/12,12.1,-0.5%,-2.2%,-3.3%,BILBAO
156,01/02/12,12.1,-0.7%,-0.5%,-2.8%,BILBAO
157,01/01/12,12.2,-1.1%,0.7%,-1.1%,BILBAO
158,01/12/11,12.4,1.2%,"3,00%",0.9%,BILBAO
159,01/11/11,12.2,0.6%,1.8%,n.d.,BILBAO
160,01/10/11,12.1,1.2%,1.2%,n.d.,BILBAO
161,01/09/11,12.0,n.d.,n.d.,n.d.,BILBAO
162,01/08/11,12.0,n.d.,-1.5%,n.d.,BILBAO
163,01/07/11,12.0,n.d.,-2.9%,n.d.,BILBAO
164,01/06/11,12.0,-1.5%,"-4,00%",n.d.,BILBAO
165,01/05/11,12.2,-1.5%,-2.5%,n.d.,BILBAO
166,01/04/11,12.4,-1.1%,n.d.,n.d.,BILBAO
167,01/03/11,12.5,n.d.,"2,00%",n.d.,BILBAO
168,01/02/11,12.5,1.1%,n.d.,n.d.,BILBAO
169,01/01/11,12.4,0.9%,n.d.,n.d.,BILBAO
170,01/12/10,12.3,n.d.,n.d.,n.d.,BILBAO
171,01/11/10,n.d.,n.d.,n.d.,n.d.,BILBAO
172,01/10/10,n.d.,n.d.,n.d.,n.d.,BILBAO
173,01/09/10,n.d.,n.d.,n.d.,n.d.,BILBAO
174,01/08/10,n.d.,n.d.,n.d.,n.d.,BILBAO
175,01/07/10,n.d.,n.d.,n.d.,n.d.,BILBAO
176,01/06/10,n.d.,n.d.,n.d.,n.d.,BILBAO
177,01/05/10,n.d.,n.d.,n.d.,n.d.,BILBAO
178,01/04/10,n.d.,n.d.,n.d.,n.d.,BILBAO
179,01/03/10,n.d.,n.d.,n.d.,n.d.,BILBAO
180,01/02/10,n.d.,n.d.,n.d.,n.d.,BILBAO
181,01/01/10,n.d.,n.d.,n.d.,n.d.,BILBAO
182,01/12/09,n.d.,n.d.,n.d.,n.d.,BILBAO
183,01/11/09,n.d.,n.d.,n.d.,n.d.,BILBAO
184,01/10/09,n.d.,n.d.,n.d.,n.d.,BILBAO
185,01/09/09,n.d.,n.d.,n.d.,n.d.,BILBAO
186,01/08/09,n.d.,n.d.,n.d.,n.d.,BILBAO
187,01/07/09,n.d.,n.d.,n.d.,n.d.,BILBAO
188,01/06/09,n.d.,n.d.,n.d.,n.d.,BILBAO
189,01/05/09,n.d.,n.d.,n.d.,n.d.,BILBAO
190,01/04/09,n.d.,n.d.,n.d.,n.d.,BILBAO
191,01/03/09,n.d.,n.d.,n.d.,n.d.,BILBAO
192,01/02/09,n.d.,n.d.,n.d.,n.d.,BILBAO
193,01/01/09,n.d.,n.d.,n.d.,n.d.,BILBAO
194,01/12/08,n.d.,n.d.,n.d.,n.d.,BILBAO
195,01/11/08,n.d.,n.d.,n.d.,n.d.,BILBAO
196,01/10/08,n.d.,n.d.,n.d.,n.d.,BILBAO
197,01/09/08,n.d.,n.d.,n.d.,n.d.,BILBAO
198,01/08/08,n.d.,n.d.,n.d.,n.d.,BILBAO
199,01/07/08,n.d.,n.d.,n.d.,n.d.,BILBAO
200,01/06/08,n.d.,n.d.,n.d.,n.d.,BILBAO
201,01/05/08,n.d.,n.d.,n.d.,n.d.,BILBAO
202,01/04/08,n.d.,n.d.,n.d.,n.d.,BILBAO
203,01/03/08,n.d.,n.d.,n.d.,n.d.,BILBAO
204,01/02/08,n.d.,n.d.,n.d.,n.d.,BILBAO
205,01/01/08,n.d.,n.d.,n.d.,n.d.,BILBAO
206,01/12/07,n.d.,n.d.,n.d.,n.d.,BILBAO
207,01/11/07,n.d.,n.d.,n.d.,n.d.,BILBAO
208,01/10/07,n.d.,n.d.,n.d.,n.d.,BILBAO
209,01/09/07,n.d.,n.d.,n.d.,n.d.,BILBAO
210,01/08/07,n.d.,n.d.,n.d.,n.d.,BILBAO
