"Renta personal media de la C.A. de Euskadi (euros) por barrios, tipo de renta y periodo",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Renta de actividades,606,804,829,578,639,837,1225,1342,1235,1031,803,949,1054
,Transferencias,3353,3435,3775,3952,3607,4267,4182,3827,3715,3631,4914,4857,4940
,Renta disponible,11124,12858,13224,12964,13502,13812,14606,14990,14420,15309,14910,16505,17685
Larraskitu,Renta total,12675,13953,13670,13366,14141,14756,14970,15551,15608,17399,17192,18289,19619
,Renta del trabajo,7786,8665,8453,7961,9099,9240,9496,10056,10482,11767,10978,11989,13155
,Renta capital mobiliario,638,579,476,504,488,439,340,309,189,350,284,395,410
,Renta capital inmobiliario,75,94,124,129,119,141,146,169,147,226,205,245,279
,Renta de actividades,553,444,459,372,486,457,464,500,552,687,727,767,840
,Transferencias,3623,4170,4157,4401,3949,4479,4524,4516,4238,4368,4998,4892,4935
,Renta disponible,11054,12435,12011,11768,12442,12953,13103,13534,13509,14995,14881,15678,16764
Masustegi-Monte Caramelo,Renta total,16259,18151,18039,17618,17439,18117,18045,18605,18735,19833,19395,20420,21693
,Renta del trabajo,12066,13284,13381,12734,12476,12542,12502,12858,13041,13712,12710,13397,14369
,Renta capital mobiliario,860,910,585,539,486,463,343,434,337,383,312,411,425
,Renta capital inmobiliario,146,175,217,182,227,233,254,238,222,278,263,276,322
,Renta de actividades,885,897,802,735,739,908,920,885,867,871,838,1045,962
,Transferencias,2302,2886,3055,3428,3510,3971,4026,4190,4268,4589,5273,5290,5615
,Renta disponible,13607,15471,15289,14875,14787,15353,15250,15738,15741,16688,16451,17252,18326
Matiko,Renta total,16123,17610,17681,18051,18024,18083,18403,19129,19251,20134,19678,20623,21572
,Renta del trabajo,10181,11118,11265,11095,11079,10752,10934,11554,11313,12113,11182,11963,12456
,Renta capital mobiliario,1359,1261,1087,1122,888,770,672,672,830,576,474,472,649
,Renta capital inmobiliario,162,186,202,202,220,245,256,291,280,310,308,330,360
,Renta de actividades,604,555,512,526,583,587,642,687,715,741,753,817,731
,Transferencias,3816,4490,4616,5105,5254,5729,5899,5925,6113,6393,6961,7039,7376
,Renta disponible,13649,15182,15083,15251,15278,15365,15620,16232,16230,17033,16712,17401,18244
Miribilla,Renta total,-,23691,24322,23852,24208,24710,25317,26165,26737,28444,28102,29609,31071
,Renta del trabajo,-,19650,19878,19177,19447,19889,20513,21096,21803,22964,21781,22909,24145
,Renta capital mobiliario,-,782,772,907,841,699,645,818,682,691,662,1091,1141
,Renta capital inmobiliario,-,169,263,256,302,315,369,403,414,480,451,538,589
,Renta de actividades,-,1088,1164,1094,1241,1298,1353,1386,1386,1400,1350,1501,1483
,Transferencias,-,2002,2244,2418,2377,2508,2437,2463,2451,2909,3858,3571,3713
,Renta disponible,-,20083,20267,19720,19996,20365,20813,21445,21717,23212,23064,24036,25206
Olabeaga,Renta total,13144,15195,15096,15534,15093,15413,15699,16783,17251,18455,18646,19975,21369
,Renta del trabajo,7605,9801,9929,9881,9939,9844,10146,11417,11738,12709,12090,13502,14516
,Renta capital mobiliario,896,582,585,670,436,362,307,307,244,264,385,232,321
,Renta capital inmobiliario,99,74,83,96,148,176,194,199,220,268,214,227,274
,Renta de actividades,573,587,517,663,603,581,574,619,754,848,877,1137,1216
,Transferencias,3971,4152,3981,4224,3966,4450,4478,4241,4296,4366,5080,4876,5042
,Renta disponible,11445,13548,13221,13427,13099,13396,13622,14413,14832,15765,15958,16998,18056
Otxarkoaga,Renta total,9959,10840,10271,10829,10794,11172,11295,11759,11950,12587,12280,13086,14009
,Renta del trabajo,5680,6091,5825,6210,6125,5350,5489,5897,6181,6438,5848,6366,7053
,Renta capital mobiliario,357,350,265,251,218,223,230,166,131,245,116,132,162
,Renta capital inmobiliario,59,75,74,68,73,85,97,103,103,120,109,113,104
,Renta de actividades,481,443,417,386,408,452,445,464,466,499,459,495,512
,Transferencias,3381,3881,3690,3914,3969,5062,5034,5128,5069,5284,5748,5980,6178
,Renta disponible,8889,9827,9245,9827,9818,10171,10247,10658,10769,11331,11170,11858,12672
San Adrián,Renta total,18265,17393,17219,16935,16963,17247,17371,17704,17994,18929,18763,19769,20728
,Renta del trabajo,13662,11609,11288,10846,10935,10504,10715,10927,11098,11701,11024,11547,12032
,Renta capital mobiliario,1172,1007,827,992,862,942,623,610,541,538,509,634,582
,Renta capital inmobiliario,117,155,176,166,191,205,216,245,220,235,234,256,279
,Renta de actividades,854,673,656,587,575,638,659,658,679,649,615,678,689
,Transferencias,2460,3949,4272,4344,4401,4958,5158,5264,5455,5807,6381,6653,7145
,Renta disponible,15359,14948,14627,14355,14431,14650,14769,15059,15262,16049,16013,16707,17603
San Francisco,Renta total,9969,10823,10866,12026,12207,12892,13389,13637,13518,14744,14207,15542,16686
,Renta del trabajo,6193,7102,7321,8291,8413,7665,7977,8157,8345,9290,8530,9542,10434
,Renta capital mobiliario,708,615,460,391,450,364,392,411,318,408,206,375,435
,Renta capital inmobiliario,114,125,175,160,179,212,242,247,263,299,261,279,318
,Renta de actividades,609,554,555,542,595,634,675,688,744,808,743,796,851
,Transferencias,2344,2427,2354,2642,2571,4017,4103,4134,3847,3939,4467,4550,4647
,Renta disponible,8550,9457,9395,10465,10610,11210,11588,11821,11614,12668,12261,13361,14302
San Ignacio,Renta total,16406,17859,18316,17914,17961,18143,18322,18853,19484,20091,19971,20906,22416
,Renta del trabajo,10424,11576,11787,11372,11431,11345,11649,12032,12576,12886,12014,12882,14229
,Renta capital mobiliario,1108,904,1079,825,726,695,580,586,610,562,657,771,682
,Renta capital inmobiliario,152,188,205,194,215,221,242,250,248,288,281,284,313
,Renta de actividades,686,665,627,571,641,667,664,645,676,724,797,763,719
,Transferencias,4035,4527,4619,4952,4947,5214,5187,5340,5374,5631,6222,6205,6473
,Renta disponible,13916,15427,15611,15139,15229,15385,15502,15950,16271,16989,16882,17623,18887
San Pedro de Deustu,Renta total,20616,22783,22841,22664,22424,22799,22835,23759,24350,25184,25070,26222,27909
,Renta del trabajo,12449,14021,13887,13351,13175,13077,13050,13648,13983,14164,13722,14428,15305
,Renta capital mobiliario,2500,2378,2109,1977,1622,1583,1452,1415,1490,1643,1338,1662,1711
,Renta capital inmobiliario,346,398,439,425,461,490,522,575,565,629,601,630,708
,Renta de actividades,960,763,755,696,745,818,837,876,884,961,874,1013,1021
,Transferencias,4361,5223,5651,6216,6420,6832,6975,7245,7429,7786,8535,8490,9164
,Renta disponible,16809,18987,18814,18451,18330,18627,18634,19429,19821,20577,20559,21389,22788
Santutxu,Renta total,14690,16255,16057,15996,16051,16113,16306,16822,17053,17904,17846,18753,19875
,Renta del trabajo,8818,9641,9461,8985,8984,8655,8778,9197,9328,9916,9429,10116,10741
,Renta capital mobiliario,1172,1113,869,863,828,718,697,596,571,524,440,518,716
,Renta capital inmobiliario,179,210,236,213,242,257,271,280,267,313,296,311,348
,Renta de actividades,628,533,523,475,511,535,550,584,623,658,605,677,668
,Transferencias,3893,4758,4967,5460,5486,5948,6010,6165,6264,6494,7076,7131,7401
,Renta disponible,12590,14219,13909,13791,13881,13956,14088,14558,14692,15423,15462,16119,17102
Solokoetxe,Renta total,16080,17340,17348,16992,17014,17581,17976,18304,18455,19133,19301,20228,22334
,Renta del trabajo,9920,10710,10812,10386,10252,10288,10688,10947,10979,11440,11051,11699,12776
,Renta capital mobiliario,1574,1297,999,885,916,884,753,748,747,604,512,583,1192
,Renta capital inmobiliario,174,209,250,223,256,267,271,286,275,339,324,333,384
,Renta de actividades,714,721,708,627,643,680,681,707,741,769,732,798,767
,Transferencias,3698,4403,4579,4871,4947,5461,5584,5616,5715,5982,6683,6816,7215
,Renta disponible,13550,14901,14778,14428,14434,14917,15295,15503,15562,16198,16406,17093,18815
Txurdinaga,Renta total,17238,18538,18724,18226,18174,18378,18700,19221,19850,20512,20592,21416,23049
,Renta del trabajo,12013,12922,12871,11887,11607,11360,11616,11716,11865,12272,11673,12087,12886
,Renta capital mobiliario,1403,1009,952,859,806,753,713,658,725,668,622,754,998
,Renta capital inmobiliario,218,210,259,210,253,260,286,323,330,363,361,380,410
,Renta de actividades,775,676,653,591,643,703,674,701,776,732,710,727,718
,Transferencias,2830,3721,3989,4679,4864,5302,5411,5822,6154,6476,7226,7467,8037
,Renta disponible,14406,15817,15795,15319,15308,15483,15743,16228,16666,17275,17474,18027,19375
Uretamendi,Renta total,10047,11732,11008,10912,10861,11153,11453,11860,12064,12747,12792,13272,14092
,Renta del trabajo,6172,7018,6358,6047,6108,5579,5901,6359,6474,7124,6589,7237,7860
,Renta capital mobiliario,277,350,289,230,208,160,100,164,124,149,79,93,112
,Renta capital inmobiliario,38,58,88,79,91,100,102,100,93,102,102,79,80
,Renta de actividades,416,360,290,301,355,426,415,387,470,415,414,425,404
,Transferencias,3144,3946,3984,4254,4099,4886,4936,4850,4902,4957,5607,5437,5636
,Renta disponible,9004,10682,9993,9887,9913,10187,10435,10756,10903,11514,11631,11989,12731
Uribarri,Renta total,14441,15670,15642,15773,15879,16072,16043,16746,16763,18000,17368,18419,20052
,Renta del trabajo,8685,9346,9305,9020,9091,8901,9112,9547,9604,10358,9495,10590,11741
,Renta capital mobiliario,1130,988,818,855,756,749,473,615,545,754,377,421,639
,Renta capital inmobiliario,133,162,190,162,180,208,231,242,242,267,251,265,305
,Renta de actividades,566,532,505,484,541,534,528,561,555,551,569,658,611
,Transferencias,3926,4642,4823,5253,5311,5680,5700,5781,5817,6070,6676,6484,6755
,Renta disponible,12422,13761,13611,13653,13767,13922,13919,14480,14445,15493,15072,15852,17208
Zabala,Renta total,14209,13743,13255,13625,13797,14077,14082,14536,14494,15154,14999,15814,16989
,Renta del trabajo,8784,8074,7945,8203,8341,7695,7842,8291,8311,8786,8188,8857,9718
,Renta capital mobiliario,1080,840,620,577,570,424,382,414,383,317,245,380,456
,Renta capital inmobiliario,85,125,165,149,164,161,174,187,180,178,185,210,253
,Renta de actividades,632,470,473,394,501,539,560,599,636,692,676,732,788
,Transferencias,3628,4232,4050,4303,4221,5257,5123,5045,4985,5181,5705,5635,5774
,Renta disponible,12057,12089,11501,11883,12049,12330,12298,12649,12613,13169,13079,13722,14751
Zorrotza,Renta total,13027,14627,14791,14683,14524,14788,15069,15431,15524,16143,15966,16701,17741
,Renta del trabajo,8619,9465,9549,9059,8909,8716,8896,9055,9073,9364,8689,9160,9945
,Renta capital mobiliario,647,682,568,575,487,413,343,359,299,346,317,387,330
,Renta capital inmobiliario,91,115,142,137,155,160,168,180,155,187,182,200,213
,Renta de actividades,568,542,505,465,518,549,544,521,521,530,503,591,594
,Transferencias,3101,3823,4027,4447,4455,4949,5118,5316,5476,5716,6274,6363,6659
,Renta disponible,11319,12941,12937,12827,12717,12976,13204,13517,13539,14060,14064,14608,15521
Zurbaran,Renta total,16992,18727,18524,17758,17584,17865,18194,18625,18995,19905,19485,20241,21560
,Renta del trabajo,9721,10255,10110,9457,9410,9244,9479,9916,10098,10706,10240,10766,11765
,Renta capital mobiliario,1857,1992,1640,1215,979,912,936,831,884,979,705,845,827
,Renta capital inmobiliario,199,253,284,241,260,285,307,334,322,374,349,364,410
,Renta de actividades,815,726,752,583,669,688,691,698,713,748,669,729,728
,Transferencias,4400,5501,5737,6262,6266,6736,6781,6847,6978,7098,7521,7537,7830
,Renta disponible,14356,16168,15733,15010,14931,15203,15458,15832,16040,16858,16654,17169,18274
Donostia / San Sebastián,Renta total,20056,23054,23008,22268,22583,23469,24095,25141,25577,27297,26395,27558,30809
,Renta del trabajo,12014,13530,13617,13068,12981,13160,13447,13978,14270,14884,13752,14821,16073
,Renta capital mobiliario,2407,2559,2300,1905,2084,2121,2225,2517,2414,3147,2211,2448,3723
,Renta capital inmobiliario,497,611,694,707,727,786,842,901,952,990,914,973,1105
,Renta de actividades,1418,1296,1216,1143,1222,1310,1355,1394,1497,1505,1432,1531,1643
,Transferencias,3720,5059,5181,5444,5568,6090,6226,6351,6443,6771,8087,7784,8264
